# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: D:\Users\renan\Documents\FPGA projects\microprocessor\microprocessor.csv
# Generated on: Thu Dec 13 20:29:06 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
data_memory_output[31],Output,,,,PIN_AG26,,,,,,
data_memory_output[30],Output,,,,PIN_Y26,,,,,,
data_memory_output[29],Output,,,,PIN_Y19,,,,,,
data_memory_output[28],Output,,,,PIN_U23,,,,,,
data_memory_output[27],Output,,,,PIN_AH19,,,,,,
data_memory_output[26],Output,,,,PIN_Y23,,,,,,
data_memory_output[25],Output,,,,PIN_AF23,,,,,,
data_memory_output[24],Output,,,,PIN_V24,,,,,,
data_memory_output[23],Output,,,,PIN_AD28,,,,,,
data_memory_output[22],Output,,,,PIN_W28,,,,,,
data_memory_output[21],Output,,,,PIN_AH18,,,,,,
data_memory_output[20],Output,,,,PIN_AB26,,,,,,
data_memory_output[19],Output,,,,PIN_V28,,,,,,
data_memory_output[18],Output,,,,PIN_AH26,,,,,,
data_memory_output[17],Output,,,,PIN_V23,,,,,,
data_memory_output[16],Output,,,,PIN_W21,,,,,,
data_memory_output[15],Output,,,,PIN_AC28,,,,,,
data_memory_output[14],Output,,,,PIN_V21,,,,,,
data_memory_output[13],Output,,,,PIN_V25,,,,,,
data_memory_output[12],Output,,,,PIN_AC17,,,,,,
data_memory_output[11],Output,,,,PIN_Y25,,,,,,
data_memory_output[10],Output,,,,PIN_AG19,,,,,,
data_memory_output[9],Output,,,,PIN_AE27,,,,,,
data_memory_output[8],Output,,,,PIN_W26,,,,,,
data_memory_output[7],Output,,,,PIN_AB28,,,,,,
data_memory_output[6],Output,,,,PIN_V27,,,,,,
data_memory_output[5],Output,,,,PIN_AG18,,,,,,
data_memory_output[4],Output,,,,PIN_AD17,,,,,,
data_memory_output[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
data_memory_output[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
data_memory_output[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
data_memory_output[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
instruction_addr[31],Output,,,,PIN_P25,,,,,,
instruction_addr[30],Output,,,,PIN_R27,,,,,,
instruction_addr[29],Output,,,,PIN_R25,,,,,,
instruction_addr[28],Output,,,,PIN_M27,,,,,,
instruction_addr[27],Output,,,,PIN_R26,,,,,,
instruction_addr[26],Output,,,,PIN_M24,,,,,,
instruction_addr[25],Output,,,,PIN_P27,,,,,,
instruction_addr[24],Output,,,,PIN_R21,,,,,,
instruction_addr[23],Output,,,,PIN_R24,,,,,,
instruction_addr[22],Output,,,,PIN_R22,,,,,,
instruction_addr[21],Output,,,,PIN_R23,,,,,,
instruction_addr[20],Output,,,,PIN_T22,,,,,,
instruction_addr[19],Output,,,,PIN_N21,,,,,,
instruction_addr[18],Output,,,,PIN_P21,,,,,,
instruction_addr[17],Output,,,,PIN_R28,,,,,,
instruction_addr[16],Output,,,,PIN_M28,,,,,,
instruction_addr[15],Output,,,,PIN_M26,,,,,,
instruction_addr[14],Output,,,,PIN_L27,,,,,,
instruction_addr[13],Output,,,,PIN_N25,,,,,,
instruction_addr[12],Output,,,,PIN_P26,,,,,,
instruction_addr[11],Output,,,,PIN_L24,,,,,,
instruction_addr[10],Output,,,,PIN_L28,,,,,,
instruction_addr[9],Output,,,,PIN_M25,,,,,,
instruction_addr[8],Output,,,,PIN_N26,,,,,,
instruction_addr[7],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
instruction_addr[6],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
instruction_addr[5],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
instruction_addr[4],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
instruction_addr[3],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
instruction_addr[2],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
instruction_addr[1],Output,,,,PIN_E17,,,,,,
instruction_addr[0],Output,,,,PIN_G25,,,,,,
